filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
2150 Packard Ave Huntingdon Valley PA 19006.jpg,2150 Packard Ave,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/2150+Packard+Ave,+Huntingdon+Valley,+PA+19006/@40.113877,-75.0651741,3a,75y,20.3h,90t/data=!3m7!1e1!3m5!1seyT7g2KBPZNiyqY7-_fmxg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DeyT7g2KBPZNiyqY7-_fmxg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D20.302668%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b186f6c95f97:0xe2518abe4e37fb30!8m2!3d40.1140987!4d-75.0650616!10e5"
2150 Ridgeview Ave Abington PA 19001.jpg,2150 Ridgeview Ave,Abington,PA,19001,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/2150+Ridgeview+Ave,+Abington,+PA+19001/@40.1248636,-75.1262137,3a,75y,244.89h,90t/data=!3m7!1e1!3m5!1sej7kNa_NB8pwo8_nI08TVQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dej7kNa_NB8pwo8_nI08TVQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D244.89058%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b05cb4c6e403:0x226c43221351a1df!8m2!3d40.1247748!4d-75.1264667!10e5"
2150 Saint Alberts Cir Huntingdon Valley PA 19006.jpg,2150 Saint Alberts Cir,Huntingdon Valley,PA,19006,2022 Google,22-Jun,Picture,"https://www.google.com/maps/place/2150+St+Alberts+Cir,+Huntingdon+Valley,+PA+19006/@40.1131115,-75.0582974,3a,75y,197.13h,90t/data=!3m7!1e1!3m5!1s3DgeSFAbO4zXdJdCJgdyAQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D3DgeSFAbO4zXdJdCJgdyAQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D197.13358%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b229a6fceb47:0x9892af138daddc33!8m2!3d40.1127366!4d-75.0584224!10e5"
2150 Wharton Rd Glenside PA 19038.jpg,2150 Wharton Rd,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/2150+Wharton+Rd,+Glenside,+PA+19038/@40.1042504,-75.1443904,3a,75y,219h,90t/data=!3m7!1e1!3m5!1sXEI8FWy3K6BSSGv5YgIHRg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DXEI8FWy3K6BSSGv5YgIHRg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D218.99518%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b09a4312edf9:0x6904c2698a6cbd50!8m2!3d40.1040823!4d-75.1445734"
2150 Willow Brook Dr Huntingdon Valley PA 19006.jpg,2150 Willow Brook Dr,Huntingdon Valley,PA,19006,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/2150+Willow+Brook+Dr,+Huntingdon+Valley,+PA+19006/@40.1351776,-75.1000372,3a,75y,313.52h,90t/data=!3m7!1e1!3m5!1sCRXV7QyAOESqNYG87vIoug!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DCRXV7QyAOESqNYG87vIoug%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D313.5163%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b1c93e2792fd:0xc93f102ab7fb393!8m2!3d40.1353567!4d-75.1002835!10e5"
2151 Curtis Ave Abington PA 19001.jpg,2151 Curtis Ave,Abington,PA,19001,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/2151+Curtis+Ave,+Abington,+PA+19001/@40.1261254,-75.1234196,3a,75y,65.35h,90t/data=!3m7!1e1!3m5!1sTmtKwfPo2keaNdeZsS8jyg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DTmtKwfPo2keaNdeZsS8jyg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D65.35492%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b044ef5b80b5:0xdd082087d416c7d3!8m2!3d40.1261907!4d-75.1232282"
2151 Kenmore Ave Glenside PA 19038.jpg,2151 Kenmore Ave,Glenside,PA,19038,2022 Google,18-Sep,Picture,"https://www.google.com/maps/place/2151+Kenmore+Ave,+Glenside,+PA+19038/@40.1034229,-75.1450371,3a,75y,17.47h,90t/data=!3m7!1e1!3m5!1sP_2krtBCLQQkgWBz6RfS5g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DP_2krtBCLQQkgWBz6RfS5g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D17.473684%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b09a47938f9d:0xd2f33330b2106ba2!8m2!3d40.10366!4d-75.1449383"
2151 Mount Carmel Ave Glenside PA 19038.jpg,2151 Mount Carmel Ave,Glenside,PA,19038,2022 Google,19-Sep,Picture,"https://www.google.com/maps/place/2151+Mt+Carmel+Ave,+Glenside,+PA+19038/@40.1004212,-75.1483218,3a,75y,23.03h,90t/data=!3m7!1e1!3m5!1sPScbEdpidxqkXlHGy2Oiqw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPScbEdpidxqkXlHGy2Oiqw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D23.034866%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b0992eced191:0x405ec96b0c7d698f!8m2!3d40.1006037!4d-75.1482219"
2151 Pleasant Ave Glenside PA 19038.jpg,2151 Pleasant Ave,Glenside,PA,19038,2022 Google,18-Aug,Picture,"https://www.google.com/maps/place/2151+Pleasant+Ave,+Glenside,+PA+19038/@40.1095823,-75.1381205,3a,75y,64.96h,90t/data=!3m7!1e1!3m5!1s5n-BHIGDfNEhMlSJaUIJ9g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D5n-BHIGDfNEhMlSJaUIJ9g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D64.95992%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c6b08e90449d9f:0x742c4a04de97eb2b!8m2!3d40.1096669!4d-75.1378691"
2151 Ridgeview Ave Abington PA 19001.jpg,2151 Ridgeview Ave,Abington,PA,19001,2022 Google,19-Aug,Picture,"https://www.google.com/maps/place/2151+Ridgeview+Ave,+Abington,+PA+19001/@40.1248636,-75.1262137,3a,75y,61.58h,90t/data=!3m7!1e1!3m5!1sej7kNa_NB8pwo8_nI08TVQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dej7kNa_NB8pwo8_nI08TVQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D61.578735%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m6!3m5!1s0x89c6b0435526f405:0xe5c98b5d02b44dda!8m2!3d40.12495!4d-75.1260105!10e5"
